Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Score,CLTV,Churn Category,Churn Reason,Total Spend
5840-NVDCG,0,32,No,0,1,Yes,1,United States,California,Pacoima,91331,34.255442,-118.421314,97318,Yes,10,-0.6677487459634591,,1,20.12,No,1,Cable,30,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.11593718009266311,-0.5143427287917042,0.0,0,321.92,1436.77,3,Stayed,43,3559,Unknown,Unknown,-0.07741690661741552
1051-EQPZR,0,21,Yes,0,1,Yes,2,United States,California,Stanford,94305,37.424342,-122.165641,13386,Yes,1,0.47323073363119283,,1,4.17,No,0,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,-1.5009913010689746,-0.6619999237710866,0.0,0,183.48,963.73,5,Stayed,36,5584,Unknown,Unknown,-0.7103152145789094
7285-KLOTR,0,46,No,0,1,No,0,United States,California,Pacifica,94044,37.573633,-122.455167,38885,Yes,3,-0.8307458144769808,,1,25.09,Yes,1,Cable,17,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.46823814412788106,-0.619414988578288,0.0,0,301.08,1177.83,3,Stayed,55,2495,Unknown,Unknown,-0.38898687841270646
2027-WKXMW,0,49,No,0,1,No,0,United States,California,Montara,94037,37.540582,-122.509594,2346,Yes,10,1.2474668090704208,Offer B,1,20.37,Yes,1,Fiber Optic,26,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1.461992750227223,2.0261244646244885,0.0,0,1283.3100000000002,8155.01,5,Stayed,20,4582,Unknown,Unknown,1.8237874310100426
3071-MVJCD,1,40,No,0,1,No,0,United States,California,Grizzly Flats,95636,38.636102,-120.522149,659,Yes,10,1.6142102132258447,Offer A,1,48.44,Yes,1,Cable,15,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,0.5829021371393436,1.559874586096495,0.0,0,3487.68,9302.83,3,Stayed,60,4162,Unknown,Unknown,0.9409265830815003
3891-PUQOD,0,40,No,0,0,Yes,3,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,No,0,-1.2789877528891656,,1,13.58,No,1,DSL,24,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,-0.18484807693740507,-0.9801954421210083,0.0,0,13.58,72.78,1,Churned,65,5020,Dissatisfaction,Service dissatisfaction,0.2364184265480553
2888-ADFAO,0,47,No,0,1,Yes,3,United States,California,Palmdale,93551,34.613476,-118.256358,34045,Yes,5,0.5954785350163341,,1,3.95,No,0,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,-1.4444902030633266,-0.5465793040853201,0.0,0,185.65,1227.45,4,Stayed,30,2861,Unknown,Unknown,-0.8601629099655966
5198-HQAEN,1,50,No,0,1,Yes,3,United States,California,Fremont,94538,37.505768,-121.962472,56126,Yes,5,0.10648732947576899,Offer C,1,1.53,No,1,Fiber Optic,57,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,0.82884809316393,0.39064230588841725,0.0,0,53.55,3219.15,4,Stayed,44,2775,Unknown,Unknown,0.08826181998211029
6680-WKXRZ,0,32,No,0,0,No,0,United States,California,Antioch,94509,37.980057,-121.801599,90891,No,0,-1.1974892186324047,,1,23.82,Yes,1,Fiber Optic,24,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.32033821111309646,-0.9110886975490675,0.0,0,71.46000000000001,287.26,3,Churned,90,2054,Other,Don't know,-0.38360155412392416
0868-VJRDR,1,61,No,0,1,No,0,United States,California,Cassel,96016,40.936285,-121.572692,344,Yes,1,1.2882160761988013,,1,4.76,No,1,Fiber Optic,8,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,1.3057838322116073,1.9086738894787545,0.0,0,304.64,6910.1900000000005,4,Stayed,36,4337,Unknown,Unknown,1.6821317246954708
2873-ZLIWT,0,64,No,0,1,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Yes,1,0.31023366511767114,Offer B,1,2.03,Yes,1,Fiber Optic,19,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6676537841478158,0.4512982576215797,0.0,0,81.19999999999999,3384.25,2,Churned,91,5764,Competitor,Competitor made better offer,0.2071286804858594
8735-DCXNF,1,34,No,0,1,No,0,United States,California,Pilot Hill,95664,38.803731,-121.043799,1173,Yes,9,-0.9122443487337416,Offer D,1,21.85,No,1,DSL,9,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,-0.32610082195152557,-0.7552896159965543,0.0,0,218.5,787.35,3,Stayed,26,3519,Unknown,Unknown,0.29748363194270727
5089-IFSDP,0,39,No,0,1,No,0,United States,California,Huntington Beach,92647,33.723579,-118.005441,58764,Yes,1,1.0437204734285188,Offer B,1,27.99,Yes,1,Fiber Optic,24,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,1.4852579082295487,1.705237048816784,0.0,0,1623.4199999999998,7767.97,1,Churned,89,6424,Dissatisfaction,Product dissatisfaction,1.5501940871407962
6908-VVYHM,1,52,No,0,1,No,0,United States,California,Pasadena,91104,34.165383,-118.123752,38460,Yes,1,1.3289653433271817,Offer B,1,19.84,Yes,1,Fiber Optic,2,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,0.8604222361670865,1.610998573061114,0.0,110,1289.6,7330.6,5,Stayed,70,6358,Unknown,Unknown,1.1434713324941335
1363-TXLSL,1,80,No,1,1,No,0,United States,California,San Lucas,93954,36.125529,-120.864443,521,No,0,-1.2789877528891656,Offer E,1,39.1,No,1,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.18407085709947407,-0.9752970713371732,0.0,0,39.1,109.4,1,Churned,91,4962,Competitor,Competitor had better devices,-0.23542437189403906
8741-LQOBK,0,27,Yes,0,1,Yes,2,United States,California,Elmira,95625,38.349195,-121.902943,171,Yes,9,0.5547292678879536,,0,0.0,No,1,DSL,52,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,-0.9874960280176428,-0.2913124049943942,0.0,0,0.0,1620.25,3,Stayed,33,4829,Unknown,Unknown,-0.5477929486644891
4976-LNFVV,1,65,No,1,1,No,0,United States,California,Daly City,94015,37.680844,-122.48131,63337,Yes,6,-0.5455009445783178,,0,0.0,No,1,DSL,14,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,-1.0124229830201346,-0.7516268702753083,0.0,0,0.0,577.15,5,Stayed,20,4615,Unknown,Unknown,0.5522776935502816
5680-LQOGP,0,21,Yes,0,0,No,0,United States,California,Twin Bridges,95735,38.805481,-120.13287,25,No,0,1.451213144712323,Offer A,1,14.86,No,1,Cable,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,0.5878875281398422,1.4854943702752912,0.0,90,1010.48,6747.08,3,Stayed,70,5308,Unknown,Unknown,0.8531501084489748
3736-BLEPA,1,50,No,0,0,No,0,United States,California,Folsom,95630,38.672638,-121.147403,51855,No,0,-0.178757540422894,Offer C,1,13.69,No,1,Fiber Optic,12,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,0.8803638001690798,0.08970140894822043,0.0,0,383.32,2866.9700000000003,5,Stayed,41,2886,Unknown,Unknown,-0.15737166759557686
1052-QJIBV,0,28,Yes,0,1,Yes,2,United States,California,Colfax,95713,39.084645,-120.894014,8525,Yes,1,1.5734609460974642,Offer A,1,20.49,No,0,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,-1.491020519067978,-0.38969905060304133,0.0,0,1454.79,2852.09,3,Stayed,53,6015,Unknown,Unknown,-2.346062556583433
9087-EYCPR,0,63,No,0,0,No,0,United States,California,Manteca,95336,37.830267,-121.201018,36738,No,0,1.1252190076852797,Offer B,1,39.41,Yes,0,,0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,-1.3215172250510334,-0.3421495504266263,0.0,0,2364.6,3869.65,3,Stayed,24,6355,Unknown,Unknown,-1.4869963006109284
6994-FGRHH,1,37,No,0,1,Yes,3,United States,California,Meadow Vista,95722,39.003358,-121.022539,3747,Yes,7,1.5327116789690838,,1,3.67,No,1,Fiber Optic,28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1.3755793062185846,2.2924016656124127,0.0,0,256.9,7732.0,4,Stayed,50,4649,Unknown,Unknown,2.108366467989414
0872-JCPIB,1,47,No,0,0,No,0,United States,California,Pinecrest,95364,38.224869,-119.755729,235,No,0,-0.6269994788350787,Offer D,1,47.45,Yes,1,DSL,5,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.03284733008435696,-0.515953454319722,0.0,0,806.6500000000001,1917.85,4,Stayed,63,3921,Unknown,Unknown,-0.020595258844015616
2522-WLNSF,0,74,No,1,1,No,0,United States,California,Los Olivos,93441,34.70434,-120.02609,1317,Yes,2,0.06573806234738856,,1,12.33,No,1,Cable,23,No,No,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,-0.018668376920792765,-0.0768211329689044,0.0,0,419.22,2525.5200000000004,4,Stayed,34,2225,Unknown,Unknown,-0.0012272229259436245
8345-MVDYC,0,57,No,0,0,No,0,United States,California,Gardena,90248,33.876482,-118.284077,9960,No,0,0.5139800007595733,Offer B,1,37.39,No,1,DSL,30,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.5612987761371843,0.590592918695226,0.0,0,1682.55,5301.25,3,Stayed,41,5937,Unknown,Unknown,0.2884963453853375
4501-UYKBC,0,65,No,1,0,No,0,United States,California,Igo,96047,40.524535,-122.647172,911,No,0,0.5547292678879536,,1,16.04,Yes,1,DSL,26,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,0.14418772909548702,0.430248502091046,0.0,0,737.8399999999999,3993.19,3,Stayed,30,3856,Unknown,Unknown,0.0799851533995661
7163-OCEQI,1,64,No,0,1,Yes,2,United States,California,Walnut Creek,94596,37.900662,-122.052782,40917,Yes,6,-0.42325314319317653,,1,36.15,Yes,1,DSL,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,0.4615909561272169,-0.27211608705774404,0.0,0,795.3,2459.05,3,Stayed,67,3571,Unknown,Unknown,-0.1953698230503882
7322-OCWHC,1,73,No,1,1,No,0,United States,California,Placentia,92870,33.881158,-117.854783,48170,Yes,10,1.6142102132258447,Offer A,1,1.34,Yes,1,Fiber Optic,30,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.9401884921750601,1.9658215486234945,0.0,0,96.48,6831.53,3,Stayed,39,4988,Unknown,Unknown,1.517661866426389
4109-CYRBD,1,77,No,1,1,No,0,United States,California,Menifee,92584,33.653338,-117.178271,14068,Yes,1,-0.13800827329451357,Offer C,1,37.65,Yes,1,DSL,9,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,-0.43744122096265586,-0.36997317906813876,0.0,0,1091.85,2533.85,5,Stayed,39,5495,Unknown,Unknown,0.060370507572899905
4226-KKDON,1,41,No,0,0,No,0,United States,California,French Camp,95231,37.873283,-121.292034,5094,No,0,-0.9937428829905025,Offer E,1,30.8,No,1,DSL,27,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.06275967608734737,-0.7764276304601299,0.0,0,246.4,767.35,4,Stayed,60,3804,Unknown,Unknown,-0.06236698145059067
2619-WFQWU,0,34,No,0,0,No,0,United States,California,Mission Viejo,92692,33.60693,-117.644253,46227,No,0,-1.2789877528891656,,1,2.24,No,1,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.179085466098976,-0.9753632655369548,0.0,0,2.24,72.39,3,Churned,96,3208,Competitor,Competitor offered higher download speeds,-0.22904811786103815
2519-LBNQL,1,80,No,1,1,No,0,United States,California,Artesia,90701,33.867593,-118.080637,16398,Yes,2,1.1252190076852797,,1,22.95,Yes,1,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1.3157546142126038,1.7912453790662806,41.23,0,1377.0,7675.22,4,Stayed,73,4040,Unknown,Unknown,1.480512101361634
2865-TCHJW,0,74,No,1,0,No,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,No,0,-1.1567399515040242,,1,48.35,Yes,1,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.8122301231622688,-0.8535438732056382,0.0,0,193.4,539.6,1,Churned,74,5808,Competitor,Competitor had better devices,-0.9395390332768304
6164-HXUGH,0,40,No,0,1,Yes,1,United States,California,Raymond,93653,37.252057,-119.95783,972,Yes,1,-1.0752414172472633,Offer E,1,6.48,No,0,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,-1.4926823160681442,-0.9536736327418661,0.0,0,38.88,158.18,3,Stayed,31,5060,Unknown,Unknown,1.6049938490290387
5244-IRFIH,1,72,No,1,1,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Yes,1,0.02498879521900814,,1,27.78,Yes,1,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9883806051798778,0.36414256124253597,0.0,0,916.74,4022.29,3,Churned,91,4333,Other,Poor expertise of online support,0.0246984405412793
8344-WFMFH,1,34,No,0,0,Yes,2,United States,California,Los Angeles,90008,34.008293,-118.346766,30852,No,0,-0.9529936158621221,Offer E,1,27.64,No,1,Cable,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-0.48729513096763954,-0.7927114036063918,0.0,0,248.76,732.81,4,Stayed,56,4738,Unknown,Unknown,0.46438914885285715
9365-CSLBQ,1,36,No,0,0,Yes,3,United States,California,Richgrove,93261,35.809921,-119.127437,2956,No,0,1.5734609460974642,,1,4.89,Yes,0,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,-1.343120586053193,-0.2761539332444188,0.0,0,347.19,2001.79,4,Stayed,60,4155,Unknown,Unknown,-2.1133477880542375
1028-FFNJK,1,79,No,1,1,No,0,United States,California,Burbank,91504,34.213049,-118.317651,25882,Yes,1,-0.09725900616613313,Offer C,1,48.02,Yes,1,Fiber Optic,24,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.221032185203135,0.28122329364951154,0.0,0,1440.6,4358.25,5,Stayed,73,4828,Unknown,Unknown,-0.11875637682971871
0723-FDLAY,1,54,No,0,0,No,0,United States,California,Gold Run,95717,39.170376,-120.838404,407,No,0,0.47323073363119283,Offer B,1,49.57,Yes,1,Cable,21,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,0.6809481601491449,0.6283015478374503,0.0,100,2181.08,5985.23,5,Stayed,57,2292,Unknown,Unknown,0.32224559739219083
5419-JPRRN,1,32,No,0,0,No,0,United States,California,Rough And Ready,95975,39.225634,-121.156163,1601,No,0,-1.2789877528891656,,1,10.38,Yes,1,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1.219370388202969,-0.961550742515871,0.0,0,10.38,111.83,1,Churned,77,4390,Price,Extra data charges,-1.5595597927473046
9648-BCHKM,0,22,Yes,0,1,Yes,3,United States,California,Palmdale,93550,34.536232,-118.082935,67232,Yes,9,-0.5862502117066982,,1,43.69,Yes,0,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,-1.3331498040521963,-0.7983158458545633,0.0,0,786.42,1257.77,3,Stayed,78,5231,Unknown,Unknown,0.7815593548623433
4471-KXAUH,0,58,No,0,1,No,0,United States,California,Woody,93287,35.710244,-118.881679,88,Yes,1,0.391732199374432,,1,10.73,Yes,1,Fiber Optic,22,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6493740171459885,0.5772216903393526,0.0,0,450.66,4039.06,3,Churned,91,2514,Attitude,Attitude of service provider,0.2543807119532082
8670-MEFCP,0,23,Yes,0,1,Yes,2,United States,California,Tranquillity,93668,36.635661,-120.288644,1130,Yes,7,0.14723659660414942,,1,40.54,Yes,1,Cable,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.9352031011745621,0.4849249111106082,0.0,0,1459.44,4838.6900000000005,3,Stayed,77,3570,Unknown,Unknown,0.13769612175058854
9443-JUBUO,1,24,Yes,0,1,Yes,3,United States,California,Hoopa,95546,41.163637,-123.704841,3041,Yes,9,1.6142102132258447,Offer A,0,0.0,No,1,DSL,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,0.016229360082695727,0.9701725249759071,0.0,80,0.0,4558.85,4,Stayed,67,6412,Unknown,Unknown,0.026197598799607282
8706-HRADD,1,29,Yes,0,0,No,0,United States,California,Sunnyvale,94087,37.3511,-122.037311,50070,No,0,-0.464002410321557,Offer D,0,0.0,No,1,DSL,26,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,-0.7049905379894018,-0.5599505324411936,0.0,0,0.0,1011.5,4,Stayed,63,5808,Unknown,Unknown,0.3271173088809736
0383-CLDDA,0,42,No,0,0,No,0,United States,California,Stanford,94305,37.424342,-122.165641,13386,No,0,1.4919624118407036,Offer A,1,18.47,Yes,1,DSL,28,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.684271754149477,1.5961710723100462,0.0,0,1274.4299999999998,7171.83,3,Stayed,37,6499,Unknown,Unknown,1.0209077366753228
4291-YZODP,0,56,No,0,0,Yes,3,United States,California,San Carlos,94070,37.497915,-122.267361,28098,No,0,-1.0344921501188828,Offer E,1,49.66,No,0,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,-1.4860351280674797,-0.963602762709099,0.0,0,347.62,444.42,5,Stayed,62,3810,Unknown,Unknown,1.5372916747867165
7951-QKZPL,0,21,Yes,0,1,No,0,United States,California,Saint Helena,94574,38.581354,-122.296283,9423,Yes,1,0.02498879521900814,,1,35.31,Yes,0,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,-1.3381351950526947,-0.6796296456462401,35.05,0,1165.23,1870.48,3,Churned,77,5194,Price,Long distance charges,-0.033438386364519304
6497-TILVL,0,20,Yes,0,1,Yes,2,United States,California,La Mirada,90638,33.902045,-118.008961,47568,Yes,1,-1.0344921501188828,,1,25.64,No,1,DSL,71,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,-0.467353566965646,-0.8517125003450153,0.0,0,179.48000000000002,529.83,3,Stayed,59,3097,Unknown,Unknown,0.48347359635602044
0533-BNWKF,0,66,No,1,1,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Yes,2,0.9214726720433775,Offer B,1,42.82,Yes,1,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.6875953481498096,1.1448590181994232,0.0,90,2355.1,7319.799999999999,1,Churned,91,5502,Competitor,Competitor made better offer,0.6336003227442014
0793-TWELN,0,27,Yes,0,0,No,0,United States,California,Los Angeles,90026,34.078991,-118.263804,73686,No,0,-1.1567399515040242,Offer E,1,6.5,Yes,1,Fiber Optic,73,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5114448661322006,-0.865171987633931,0.0,0,26.0,345.85,3,Stayed,62,2841,Unknown,Unknown,-0.591608709646744
1374-DMZUI,0,65,No,1,0,No,0,United States,California,San Ramon,94583,37.766556,-121.976784,44078,No,0,-1.1567399515040242,Offer E,1,49.5,Yes,1,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9817334171792131,-0.8190125656529285,0.0,0,198.0,622.45,2,Churned,91,5419,Competitor,Competitor made better offer,-1.1356102653777629
8421-WZOOW,0,75,No,1,1,Yes,1,United States,California,Rio Vista,94571,38.148862,-121.737696,5246,Yes,8,1.0029712063001384,,1,28.25,No,1,Fiber Optic,15,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,1.0149693571825356,1.450565897523892,0.0,0,1610.25,7177.7,3,Stayed,23,4912,Unknown,Unknown,1.0179850405310438
2243-FNMMI,1,20,Yes,0,0,No,0,United States,California,Torrance,90501,33.833699,-118.314387,40705,No,0,-0.5047516774499374,Offer D,1,31.02,No,0,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,-1.5076384890696393,-0.8230062823730822,0.0,0,620.4,1035.8,3,Stayed,32,4958,Unknown,Unknown,0.7609830563459896
1088-CNNKB,1,34,No,0,1,No,0,United States,California,Campbell,95008,37.279689,-121.954567,44976,Yes,9,1.2474668090704208,,1,34.02,Yes,1,DSL,18,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,0.5064594751317021,1.217893285291736,0.0,0,2143.26,7183.46,3,Stayed,56,5540,Unknown,Unknown,0.6317913853660245
6582-OIVSP,0,25,Yes,0,0,No,0,United States,California,Glendale,91203,34.153338,-118.262974,14493,No,0,-1.2789877528891656,,1,47.36,No,1,Cable,41,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,-0.6468276429835875,-0.9863294379674319,0.0,0,47.36,92.66,5,Joined,48,3575,Unknown,Unknown,0.827284633606174
0637-YLETY,0,39,No,0,0,No,0,United States,California,Douglas City,96024,40.586588,-122.903677,960,No,0,-0.6677487459634591,Offer D,1,18.99,Yes,1,Fiber Optic,30,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1.0249401391835322,-0.31982004036698264,0.0,0,303.84,1859.49,1,Churned,96,5915,Attitude,Attitude of service provider,-0.6844024926274169
5889-JTMUL,0,67,No,1,1,No,0,United States,California,Castaic,91384,34.506627,-118.699048,22177,Yes,1,0.7177263364014754,Offer B,1,31.56,Yes,1,Fiber Optic,4,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1.0066603721817051,1.151037143512368,0.0,50,1578.0,6516.7,3,Churned,92,5863,Price,Price too high,0.7225066609265209
