Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason
0691-IFBQW,0,65,No,1,0,No,0,United States,California,Biola,93606,36.798882,-120.019511,807,No,0,0.5547292678879536,,1,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1.503537675231376,1.1449031476659444,0.0,0,109.02,4983.820000000001,1,Churned,Yes,81,2403,Competitor,Competitor made better offer
3643-AHCFP,1,74,No,1,1,No,0,United States,California,Selma,93662,36.545322,-119.642281,26213,Yes,1,-1.0344921501188828,,1,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.0249401391835322,-0.721971868773173,0.0,0,153.37,797.72,3,Churned,Yes,83,3265,Competitor,Competitor made better offer
9231-ZJYAM,0,65,No,1,0,No,0,United States,California,Squaw Valley,93675,36.719141,-119.202677,3146,No,0,-1.1567399515040242,,1,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.46823814412788106,-0.8771090083278709,0.0,0,147.72,440.52,3,Churned,Yes,72,5301,Other,Moved
0727-BMPLR,0,66,No,1,0,No,0,United States,California,Fresno,93706,36.654614,-119.903674,35790,No,0,0.9214726720433775,,1,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,1.1711782751981514,1.4249046127419103,0.0,100,2055.9,7665.200000000001,3,Churned,Yes,83,5679,Competitor,Competitor offered higher download speeds
0947-MUGVO,1,71,No,1,1,No,0,United States,California,Jolon,93928,35.930782,-121.189757,254,Yes,1,-0.5047516774499374,,1,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.2954112561106046,-0.3604853437661163,0.0,0,107.4,1570.9,1,Churned,Yes,95,5849,Competitor,Competitor had better devices
0781-LKXBR,1,65,No,1,0,No,0,United States,California,San Francisco,94102,37.7795,-122.419233,28998,No,0,-0.9529936158621221,,1,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1.1877962451998125,-0.6009468068392351,0.0,0,438.39,1356.99,1,Churned,Yes,70,4038,Competitor,Competitor had better devices
1907-UBQFC,1,69,No,1,0,No,0,United States,California,San Francisco,94108,37.791998,-122.408653,13723,No,0,-0.9122443487337416,,1,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.2688225041079463,-0.7024225151043545,0.0,30,54.6,773.25,1,Churned,Yes,91,3189,Competitor,Competitor had better devices
6513-EECDB,1,75,No,1,1,No,0,United States,California,San Francisco,94114,37.758085,-122.434801,30587,No,0,-1.2789877528891656,,1,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.2920876621102721,-0.9738628636752396,0.0,0,36.92,110.47,2,Churned,Yes,94,4369,Price,Price too high
7074-IEVOJ,0,75,No,1,0,No,0,United States,California,San Francisco,94130,37.820894,-122.369725,1458,No,0,-1.1974892186324047,,1,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.48651791112970877,-0.9158326152000789,0.0,0,125.7,330.75,1,Churned,Yes,91,3501,Dissatisfaction,Product dissatisfaction
4750-ZRXIU,0,68,No,1,0,No,0,United States,California,Palo Alto,94304,37.386978,-122.177746,1723,No,0,-1.1567399515040242,,1,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6593447991469852,-0.8474098773592145,0.0,0,26.72,386.8200000000001,1,Churned,Yes,83,2467,Competitor,Competitor had better devices
7028-DVOIQ,1,71,No,1,0,No,0,United States,California,Birds Landing,94512,38.140719,-121.838298,138,No,0,0.10648732947576899,,1,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1.1396041321949948,0.49222833781983955,0.0,120,729.05,4244.85,1,Churned,Yes,82,2074,Other,Don't know
4208-UFFGW,1,80,No,1,0,No,0,United States,California,Byron,94514,37.83323,-121.601461,10153,No,0,-1.238238485760785,Offer E,1,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,-0.6584602219847502,-0.9687438455587996,0.0,0,53.24,138.39,2,Churned,Yes,84,5900,Other,Don't know
9889-TMAHG,1,66,No,1,0,No,0,United States,California,Fremont,94539,37.516791,-121.899117,46917,No,0,-0.9937428829905025,,1,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,1.1811490571991479,-0.6390084717136275,0.0,0,92.56,924.91,1,Churned,Yes,74,5084,Competitor,Competitor had better devices
8919-FYFQZ,1,73,No,1,1,No,0,United States,California,Livermore,94550,37.571748,-121.659562,75929,Yes,2,0.47323073363119283,,0,0.0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,-1.1437049460332582,-0.4062917300149504,0.0,0,0.0,1359.7,1,Churned,Yes,96,4829,Competitor,Competitor had better devices
6646-QVXLR,1,77,No,1,1,No,0,United States,California,Napa,94558,38.489789,-122.27011,63947,Yes,1,1.2067175419420404,,1,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1.2958130502106107,1.8106182148690153,0.0,0,440.82,6824.17,1,Churned,Yes,91,5052,Competitor,Competitor had better devices
9369-XFEHK,0,76,No,1,1,No,0,United States,California,Pleasanton,94566,37.633361,-121.862395,36669,Yes,1,0.02498879521900814,,1,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5264010391336954,0.16597919182982906,0.0,0,1095.27,3751.77,2,Churned,Yes,72,3601,Competitor,Competitor offered more data
1374-DMZUI,0,65,No,1,0,No,0,United States,California,San Ramon,94583,37.766556,-121.976784,44078,No,0,-1.1567399515040242,Offer E,1,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9817334171792131,-0.8190125656529285,0.0,0,198.0,622.45,2,Churned,Yes,91,5419,Competitor,Competitor made better offer
1989-PRJHP,1,75,No,1,1,No,0,United States,California,Pleasanton,94588,37.685052,-121.912061,28568,Yes,1,-0.2195068075512744,,1,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.356897745116751,-0.17053005512632188,0.0,0,286.2,2180.15,1,Churned,Yes,65,2377,Competitor,Competitor had better devices
4822-RVYBB,1,75,No,1,0,No,0,United States,California,Berkeley,94704,37.871416,-122.246597,21205,No,0,-0.9937428829905025,Offer E,1,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1.1911198392001445,-0.6447232376281015,0.0,0,323.6,1143.0,1,Churned,Yes,90,5906,Attitude,Attitude of support person
4184-TJFAN,0,68,No,1,1,No,0,United States,California,Berkeley,94707,37.897753,-122.279391,11889,Yes,1,-1.1974892186324047,Offer E,1,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.7823177771592784,-0.885515671700128,0.0,0,77.31,351.06,1,Churned,Yes,68,4486,Attitude,Attitude of support person
4145-UQXUQ,0,71,No,1,0,No,0,United States,California,Berkeley,94710,37.872902,-122.303708,8157,No,0,-0.9937428829905025,Offer E,1,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9086143491719036,-0.6841970454311671,0.0,0,343.44,1073.39,1,Churned,Yes,81,5662,Competitor,Competitor had better devices
